,Name,Rank,Rating,Release_year,Episodes,Type,Studio,Tags,staff,Good_Anime
0,"""Anata wo Hitokoto de Arawashite Kudasai"" no Shitsumon ga Nigate da",6655.0,6.82,2022-01-01 00:00:00.000000,0.0,Other,Sunrise,"Promotional, Shorts","Yoshitoki Ooima : Original Character Design, Kouichi Chigira : Director, The Songbards : Music",0
1,"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",6839.0,6.8,2009-01-01 00:00:00.000000,1.0,OVA,Production I.G,"Romance, Library, School Life, Based on a Light Novel",unknown,0
2,"""Bungaku Shoujo"" Memoire",2834.0,7.38,2010-01-01 00:00:00.000000,3.0,OVA,Production I.G,"Drama, Romance, Episodic, School Life, Based on a Light Novel","Mizuki Nomura : Original Creator, Shunsuke Tada : Director, Masumi Itou : Music & Song Arrangement & Song Composition & Song Lyrics & Song Performance, Keita Matsumoto : Character Design, Katsumi Koike : Producer, Yuuichirou Takahata : Producer, Kenta Suzuki : Producer, Masahito Arinaga : Producer",0
3,"""Bungaku Shoujo"" Movie",2353.0,7.48,2010-01-01 00:00:00.000000,0.0,Movie,Production I.G,"Drama, Mystery, Romance, School Club, School Life, Based on a Light Novel","Shunsuke Tada : Director, Masumi Itou : Music, Keita Matsumoto : Character Design, Katsumi Koike : Producer, Yuuichirou Takahata : Producer, Kenta Suzuki : Producer, Masahito Arinaga : Producer, Itsurou Kawasaki : Episode Director & Storyboard",0
4,"""Eiji""",13116.0,5.96,1990-01-01 00:00:00.000000,0.0,Movie,Production I.G,"Shounen, Sports, Boxing, Hand to Hand Combat, Based on a Manga","Mizuho Nishikubo : Director, Masaki Sawanobori : Producer, Kenji Kume : Producer",0
5,"""Eiyuu"" Kaitai",11955.0,6.18,2016-01-01 00:00:00.000000,1.0,OVA,Zexcs,"Drama, Fantasy, Slice of Life, Person in a Strange World, Reverse Isekai, RPG, Siblings, Based on a Light Novel","Kyouhei Koyama : Original Creator & Series Composition, Kazeno : Original Character Design, Toshimasa Kuroyanagi : Director & Episode Director & Key Animator & Screenplay & Storyboard, Kohei : Music, Mitsuru Chiba : Animation Director & Character Design & Key Animator, Takahiro Hondai : Photography Director, Kazuyuki Hashimoto : Art Director, Naoki Satou : Color Design",0
6,"""Kiss Dekiru Gyoza"" x Mameshiba Movie",14623.0,5.36,2018-01-01 00:00:00.000000,0.0,Other,unknown,"Commercials, Promotional, Short Episodes",unknown,0
7,"""Parade"" de Satie",10782.0,6.36,2016-01-01 00:00:00.000000,0.0,Movie,Yamamura Animation,"Abstract, Classical Music, Music",Koji Yamamura : Director,0
9,#Compass,4460.0,7.1,2018-01-01 00:00:00.000000,0.0,Other,Jinni's,"Sci Fi, Episodic, Short Episodes, Based on a Mobile Game, CG Animation","Shigeyuki Watanabe : Director, Tetsuro Kodama : Director",0
11,(Making of) Evangelion: Another Impact,12412.0,6.1,2015-01-01 00:00:00.000000,1.0,Web,Sola Digital Arts,"Sci Fi, Japan Animator's Exhibition, Shorts, CG Animation","Shirou Sagisu : Music, Shinji Aramaki : Producer, Tomohiko Ishii : Producer, Tomoyuki Ogata : Producer",0
14,+A-Channel,5582.0,6.94,2011-01-01 00:00:00.000000,0.0,DVD S,Studio Gokumi,"Comedy, Seinen, Slice of Life, Based on a Manga",unknown,0
15,.hack // The Movie,3398.0,7.26,2012-01-01 00:00:00.000000,0.0,Movie,CyberConnect2 sai,"Action, Sci Fi, MMORPG, CG Animation","Hiroshi Matsuyama : Director, Chikayo Fukuda : Music, Yuuki Nakamura : Episode Director, Kazunori Ito : Screenplay",0
16,.hack//G.U. Returner,5494.0,6.96,2007-01-01 00:00:00.000000,1.0,OVA,unknown,"MMORPG, RPG, Virtual Reality","Kouichi Mashimo : Director, Ali Project : Music & Song Performance, Satoshi Ohsawa : Character Design, Yoshiaki Kameda : Character Design, Yoshimi Umino : Art Director, Kouji Morimoto : Producer, Rio Nakata : Producer",0
17,.hack//G.U. Trilogy,3093.0,7.32,2008-01-01 00:00:00.000000,0.0,Movie,CyberConnect2 sai,"MMORPG, RPG, Virtual Reality, CG Animation","Hiroshi Matsuyama : Director, Seiichiro Hosokawa : Character Design, Shin Unozawa : Producer, Kouji Morimoto : Producer, Rio Nakata : Producer",0
18,.hack//G.U. Trilogy Parody,10681.0,6.36,2008-01-01 00:00:00.000000,0.0,DVD S,unknown,"Comedy, MMORPG, RPG, Virtual Reality",unknown,0
19,.hack//GIFT,11017.0,6.32,2003-01-01 00:00:00.000000,1.0,OVA,BEE TRAIN,"Chibi, MMORPG, RPG, Shorts, Virtual Reality, Nudity,, Violence","Kazunori Ito : Screenplay & Series Composition, Yoshimi Umino : Art Director, Daisuke Uchiyama : Producer",0
