"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Joel Embiid","Phi","C","30.2","6","41.4","35.7","15.8","78","0.859","94","0.489","39","0.333","0.492","0.592","33","10.8","5.7","1.2","1.5","4.2","43.8","38.7","49.5","12.2","117.1","108"
"","Nikola Jokic","Den","C","29.3","12","40.2","30","14.1","71","0.901","191","0.623","53","0.264","0.574","0.625","28.7","13.4","8.7","1.4","0.7","3.3","42.1","37.3","50.8","14.9","125.6","106.4"
"","Anthony Davis","Lal","C","31.2","5","41.6","25.7","10.5","26","0.808","88","0.67","5","0","0.634","0.665","27.8","15.6","4","0.4","1.6","2.2","43.4","31.8","47.4","11.6","127.4","105.1"
"","Bam Adebayo","Mia","C","26.9","5","38.5","29","7.6","21","0.714","87","0.529","10","0.2","0.505","0.532","22.6","9.4","3.8","0.4","0","1.6","32","26.4","35.8","9.7","109.5","106.7"
"","Brook Lopez","Mil","C","36.2","6","33.4","20.8","10.7","15","0.533","52","0.654","23","0.435","0.653","0.65","17.7","4.3","1.8","0","1.3","1.5","22","19.5","23.8","6.2","121.3","117.2"
"","Myles Turner","Ind","C","28.2","17","32.4","21.4","13.8","50","0.76","119","0.563","86","0.453","0.612","0.637","17","6.6","2.1","0.5","1.5","1.9","23.6","19.1","25.8","7.6","116.7","114.6"
"","Jarrett Allen","Cle","C","26.1","4","31.8","19.6","11.8","26","0.692","37","0.676","0","0","0.676","0.702","17","13.8","1.3","1.3","1","1.3","30.8","18.3","32","8.5","137.5","103.7"
"","Ivica Zubac","Lac","C","27.2","6","32","20.6","10.2","20","0.65","70","0.6","0","0","0.6","0.615","16.2","9.3","1","0.8","0.5","1.3","25.5","17.2","26.5","6.7","121.1","105.6"
"","Evan Mobley","Cle","C","23","12","35.2","20.3","13.1","36","0.694","128","0.594","18","0.278","0.572","0.593","16","9.3","2.3","0.8","2.2","1.8","25.3","18.3","27.6","7.9","114.5","106.3"
"","Chet Holmgren","Okc","C","22.1","10","34.5","20.2","13.7","33","0.758","69","0.667","50","0.26","0.55","0.584","15.6","7.2","2.1","0.7","2.5","1.9","22.8","17.7","24.9","7.2","110.7","107.5"
"","Jonas Valanciunas","Nor","C","32.1","4","22.4","29.1","19.1","17","0.824","41","0.537","1","0","0.524","0.586","14.5","11","1.3","0.5","0","2.5","25.5","15.8","26.8","10.6","112.7","101.7"
"","Kristaps Porzingis","Bos","C","28.8","5","25.1","22.5","9.2","16","0.938","25","0.48","24","0.417","0.551","0.616","13.8","5.2","1.4","1","1.8","1","19","15.2","20.4","7.4","122.6","103.2"
"","Rudy Gobert","Min","C","31.9","15","34.2","14.4","18.1","79","0.671","104","0.615","0","0","0.615","0.652","12.1","9.8","1.6","0.9","1","1.5","21.9","13.7","23.5","6.7","125.4","99.7"
"","Dereck Lively II","Dal","C","20.3","17","21.5","15","18.5","56","0.589","79","0.671","0","0","0.671","0.671","8.2","7.1","1.5","0.4","1.1","1.1","15.2","9.7","16.8","8.3","131.4","104.4"
"","Jusuf Nurkic","Pho","C","29.8","4","25.9","16.7","18.6","11","0.455","24","0.542","2","0","0.5","0.503","7.8","8.3","2.8","1.5","1.5","1.5","16","10.5","18.8","8.7","111.3","99.7"
"","Wendell Carter Jr.","Orl","C","25.1","7","26.4","13.5","9.6","11","0.727","22","0.545","25","0.28","0.479","0.511","7.6","6.3","1.3","0.7","0.6","0.7","13.9","8.9","15.1","6","109.5","101.3"
"","Maxi Kleber","Dal","C","32.4","9","17.5","10","15.1","4","0.5","6","0.5","22","0.5","0.696","0.689","4.6","2","1.2","0.2","0.4","0.6","6.6","5.8","7.8","5.1","126.7","111.1"
"","Luka Garza","Min","C","25.4","7","3.7","27.4","0","8","0.875","9","0.889","3","0.667","0.917","0.934","4.1","0.9","0.1","0","0","0","5","4.3","5.1","7.8","0","0"
"","Mitchell Robinson","Nyk","C","26.2","6","19.1","7.9","17.5","8","0.375","14","0.5","0","0","0.5","0.485","2.8","6.8","0.5","1","1.2","0.5","9.7","3.3","10.2","4.4","123.2","100.7"
"","DeAndre Jordan","Den","C","35.9","2","6.6","10.1","0","2","1","2","0.5","0","0","0.5","0.694","2","1.5","0","0.5","0.5","0","3.5","2","3.5","0","158.9","79.2"
"","Jericho Sims","Nyk","C","25.6","5","5.5","6","0","4","0.75","2","1","0","0","1","0.931","1.4","1.6","0.2","0.4","0.2","0","3","1.6","3.2","5.6","194.7","109.4"
"","Neemias Queta","Bos","C","24.9","2","4","11.7","0","0","0","2","0.5","0","0","0.5","0.5","1","1.5","0","0","0","0","2.5","1","2.5","0","124.5","113.3"
"","Damian Jones","Cle","C","28.9","2","4.6","10.1","100","0","0","0","0","0","0","0","0","0","1","1","0","0.5","1","1","1","2","0","0","119.5"
"","Orlando Robinson","Mia","C","23.9","1","2.5","19.6","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","2","0","0","0"
